rep,nThreads,markers_per_chunk,exit,wall_s,user_s,sys_s,max_rss_kb,max_rss_gb,n_regions
1,1,100,0,4.22,2.39,2.15,1610792,1.536,2
1,1,500,0,4.19,2.37,2.13,1611200,1.537,2
1,1,1000,0,4.32,2.37,2.26,1610928,1.536,2
1,2,100,0,3.23,2.54,2.91,3121996,2.977,2
1,2,500,0,3.13,2.49,2.79,3134636,2.989,2
1,2,1000,0,2.94,2.45,2.40,3176124,3.029,2
1,4,100,0,2.84,2.42,2.36,3092072,2.949,2
1,4,500,0,2.92,2.53,2.40,3138768,2.993,2
1,4,1000,0,3.09,2.57,2.58,3137948,2.993,2
1,8,100,0,2.94,2.48,2.59,3138108,2.993,2
1,8,500,0,3.08,2.56,2.78,3114432,2.970,2
1,8,1000,0,3.39,2.93,2.97,3085260,2.942,2
